Кампания;Группа объявлений;Оффер/модель;Заголовок 1;Заголовок 2;Текст объявления;Ссылка;Регион;Количество ключей
Поиск РФ - tdrusstankosbyt.ru;Станки;Станок токарно-винторезный 1М63;Купить Станок токарно-винторезный 1М63;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;10
Поиск РФ - tdrusstankosbyt.ru;Станки;Станок токарно-винторезный 1М65;Купить Станок токарно-винторезный 1М65;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;10
Поиск РФ - tdrusstankosbyt.ru;Станки;Станок токарно-накатной РТ301;Купить Станок токарно-накатной РТ301;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;10
Поиск РФ - tdrusstankosbyt.ru;Станки;Станок токарно-патронно-центровой 16М30Ф3;Купить Станок токарно-патронно-центровой 16М30Ф3;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;9
Поиск РФ - tdrusstankosbyt.ru;Револьверные головки;Головка револьверная 16М30Ф3.40.000;Купить Головка револьверная 16М30Ф3.40.000;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;21
Поиск РФ - tdrusstankosbyt.ru;Револьверные головки;Головка револьверная 1П756ДФ3.40.000;Купить Головка револьверная 1П756ДФ3.40.000;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;1
Поиск РФ - tdrusstankosbyt.ru;Револьверные головки;Головка револьверная 1П756ДФ3.39.000;Купить Головка револьверная 1П756ДФ3.39.000;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;18
Поиск РФ - tdrusstankosbyt.ru;Револьверные головки;Головка револьверная 16К30Ф3.40.000;Купить Головка револьверная 16К30Ф3.40.000;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;18
Поиск РФ - tdrusstankosbyt.ru;Шпиндельная бабка 1М63, 16К40, 16М30, 1М65, 1Н65, РТ817, РТ117, РТ917;Валы шпиндельной бабки 1М63, 16К40, 16М30;Купить Валы шпиндельной бабки 1М63, 16К40, 16М30;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;0
Поиск РФ - tdrusstankosbyt.ru;Шпиндельная бабка 1М63, 16К40, 16М30, 1М65, 1Н65, РТ817, РТ117, РТ917;Валы шпиндельной бабки 1М65, 1Н65, РТ817, РТ117, РТ917;Купить Валы шпиндельной бабки 1М65, 1Н65, РТ817, РТ117, РТ917;Технические характеристики;В наличии. Доставка по РФ. Техническая поддержка;https://store.tilda.ru/store/?projectid=15028376;Россия;0
