name,description,meta_title,meta_description
Вал 2825П.24.210 коробки подач станка 2825П,"Вал 2825П.24.210 коробки подач станка 2825П — вал коробки подач токарного станка. Обеспечивает передачу движения подач.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 2825П.24.210.",2825П.24.210 для 2825П — купить | ТД РУССтанкоСбыт,Купить 2825П.24.210 для станков 2825П. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
"Втулка переходная в шпиндельную бабку ДИП500, 1М65, 1Н65, РТ117, РТ817","Втулка переходная в шпиндельную бабку ДИП500, 1М65, 1Н65, РТ117, РТ817 — шпиндель токарного станка. Обеспечивает вращение заготовки или инструмента при обработке.

Применяется на станках 1М65, 1Н65, ДИП500, РТ117, РТ817.

Подбор по каталогу и чертежам заказчика.",Втулка переходная в шпиндельную бабку — купить | ТД РУССтанкоСбыт,"Купить Втулка переходная в шпиндельную бабку ДИП500, 1М65, 1Н65, РТ117, РТ817. Подбор по каталогу — ТД РУССтанкоСбыт."
Вал 16А20Ф3.025.000.050,"Вал 16А20Ф3.025.000.050 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 16А20Ф3.025.000.050.",16А20Ф3.025.000.050 — купить | ТД РУССтанкоСбыт,Купить 16А20Ф3.025.000.050. Вал токарного станка по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
4-х кулачковые механизированные патроны для обработки заготовок ф. 1250и 1500мм.,"4-х кулачковые механизированные патроны для обработки заготовок ф. 1250и 1500мм. — токарный патрон для крепления заготовок.

Применяется на токарных станках.

Подбор по каталогу и чертежам заказчика.",4-х кулачковые механизированные патро — купить | ТД РУССтанкоСбыт,Купить 4-х кулачковые механизированные патроны для обработки заготовок ф. 1250и 1500мм.. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал 16К30Ф302.40.160,"Вал 16К30Ф302.40.160 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 16К30.

При подборе сверяйте каталожный номер: 16К30Ф302.40.160.",16К30Ф302.40.160 для 16К30 — купить | ТД РУССтанкоСбыт,Купить 16К30Ф302.40.160 для станков 16К30. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал конусной линейки 1Н983.74.174,"Вал конусной линейки 1Н983.74.174 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 1Н983.74.174.",1Н983.74.174 для 1Н983 — купить | ТД РУССтанкоСбыт,Купить 1Н983.74.174 для станков 1Н983. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое У05.20.160,"Колесо зубчатое У05.20.160 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков токарных станков. Устанавливается в соответствии с кинематической схемой.

Позиция 31 по кинематической схеме
Число зубьев: 60
Модуль: 3.0
Ширина венца: 22 мм

При подборе сверяйте каталожный номер: У05.20.160.","Колесо зубч. У05.20.160 станка 1М63 ДИП-300, z=60, модуль 3","Купить колесо зубчатое У05.20.160 для шпиндельной бабки токарного станка 1М63 (ДИП-300). Позиция 31 по схеме, число зубьев 60, модуль 3."
Колесо зубчатое 1М63Б.70.218,"Колесо зубчатое 1М63Б.70.218 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1М63Б. Устанавливается в соответствии с кинематической схемой.

Позиция 55 по кинематической схеме
Число зубьев: 35
Модуль: 3.0
Ширина венца: 30 мм

При подборе сверяйте каталожный номер: 1М63Б.70.218.","Колесо зубч. 1М63Б.70.218 станка 1М63 ДИП-300, z=35, модуль 3","Купить колесо зубчатое 1М63Б.70.218 для коробки подач токарного станка 1М63 (ДИП-300). Позиция 55 по схеме, число зубьев 35, модуль 3."
Шарико-винтовая пара (ШВП) 2С132ПМФ2.36.000,"Шарико-винтовая пара (ШВП) 2С132ПМФ2.36.000 — шарико-винтовая пара (ШВП). Преобразует вращательное движение двигателя в линейное перемещение рабочего органа станка с высокой точностью.

Применяется на станках с ЧПУ.

При подборе сверяйте каталожный номер: 2С132ПМФ2.36.000.",ШВП 2С132ПМФ2.36.000 — купить | ТД РУССтанкоСбыт,Купить ШВП 2С132ПМФ2.36.000. Точные линейные перемещения для станков с ЧПУ. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1Н65.71.154,"Колесо зубчатое 1Н65.71.154 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

Позиция 98 по кинематической схеме
Число зубьев: 26
Модуль: 2.75
Ширина венца: 14 мм

При подборе сверяйте каталожный номер: 1Н65.71.154.","Колесо зубч. 1Н65.71.154 станка 1М65, z=26, модуль 2.75","Купить колесо зубчатое 1Н65.71.154 для коробки подач токарного станка 1М65/1Н65. Позиция 98 по схеме, число зубьев 26, модуль 2.75."
