"name","slug","specs","meta_title","meta_description","compatible_products"
"Вал 2825П.24.210 коробки подач станка 2825П","val-2825p-24-210-korobkj-podac-stanka-2825p","[{""key"":""Применимость:"",""value"":""коробка подач""}]","Вал 2825П.24.210 для станка 2825П — коробка подач, в наличии"," Вал 2825П.24.210 – конечный шлицевой вал или вал переключения узла 24 (коробка подач) координатно-расточного станка 2825П повышенной точности. Часть кинематической схемы перемещения стола/салазок производства ЛСПО им. Свердлова с высокой чистотой обработки. Предлагаем к поставке оригинальную запчасть, быстрая доставка по РФ.","[]"
"Втулка переходная в шпиндельную бабку ДИП500, 1М65, 1Н65, РТ117, РТ817","vtulka-perehodnaa-v-spjndelenuu-babku-djp500-1m65-1n65-rt117-rt817","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Переход конусов Морзе "",""value"":""5/4, 6/5""}]","Втулка переходная в шпиндельную бабку станков 1Н65 (ДИП-500, 165, 1М65, РТ117, РТ817)","Втулка переходная для установки инструмента в шпиндель токарных станков. Совместима с ДИП-500, 1М65, 1Н65. Точная конусность, надёжная фиксация. Гарантия 6 месяцев.","[{""spare_part_id"":""01b1deee-1c6e-4370-87a9-fb694ee1cc7f""},{""spare_part_id"":""01b1deee-1c6e-4370-87a9-fb694ee1cc7f""},{""spare_part_id"":""01b1deee-1c6e-4370-87a9-fb694ee1cc7f""},{""spare_part_id"":""01b1deee-1c6e-4370-87a9-fb694ee1cc7f""}]"
"Вал 16А20Ф3.025.000.050","val-16a20f3-025-000-050","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""}]","Вал 16А20Ф3.025.000.050 для шпиндельный бабки станка 16А20Ф3 — в наличии, цена от производителя","Купить вал 16А20Ф3.025.000.050 для шпиндельной бабки токарного станка с ЧПУ 16А20Ф3. Каталожная запчасть. ТД РУССтанкоСбыт.","[{""spare_part_id"":""0233b806-6fd1-4666-9d11-8d9be0f7aeb2""}]"
"4-х кулачковые механизированные патроны для обработки заготовок","4-h-kulachkovye-mehanizirovannye-patrony","[]","4-х кулачковые механизированные патроны — в наличии, цена от производителя","Четырёхкулачковые механизированные патроны для крупногабаритных заготовок. Диаметры ф.315–1250 мм. Точность ±0.1 мм, надёжное зажимание до 100 т. Гарантия 6 месяцев.Заводское качество, высокая прочность, мгновенная доставка.","[]"
"Вал 16К30Ф302.40.160 для резцедержателя станка 16К30Ф3","val-16k30f302-40-160","[{""key"":""Применимость:"",""value"":""Суппорт""}]","Вал 16К30Ф302.40.160 для резцедержателя станка 16К30Ф3","Купить вал 16К30Ф302.40.160 для резцедержателя токарного станка с ЧПУ 16К30Ф3. Каталожная запчасть. ТД РУССтанкоСбыт.","[{""spare_part_id"":""02d2529a-6aad-436d-9009-23e57a10f77f""}]"
"Вал конусной линейки 1Н983.74.174 для станка 1Н983","val-konusnoi-ljneikj-1n983-74-174","[{""key"":""Применимость:"",""value"":""Конусная линейка""}]","Вал конусной линейки 1Н983.74.174 для станка 1Н983 - в наличии","Купить вал конусной линейки 1Н983.74.174 для механизма конусной линейки трубонарезного станка 1Н983, 1А983. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""02e747e3-25f0-440c-8d28-a14f10c2d483""},{""spare_part_id"":""02e747e3-25f0-440c-8d28-a14f10c2d483""}]"
"Колесо зубчатое У05.20.160","koleso-zubcatoe-u05-20-160","[{""key"":""Применимость: "",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""31""},{""key"":""Число зубьев, z"",""value"":""60""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""22""}]","Колесо зубчатое У05.20.160 для шпиндельной бабки станка 1М63, z=60","Купить колесо зубчатое У05.20.160 для шпиндельной бабки станка 1М63 (ДИП-300). Позиция 31 по схеме, z=60, модуль 3. ТД РУССтанкоСбыт.","[{""spare_part_id"":""02f56dd6-e1e0-4034-a0bc-9ca285973e9d""},{""spare_part_id"":""02f56dd6-e1e0-4034-a0bc-9ca285973e9d""},{""spare_part_id"":""02f56dd6-e1e0-4034-a0bc-9ca285973e9d""}]"
"Колесо зубчатое 1М63Б.70.218","koleso-zubcatoe-1m63b-70-218","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""55""},{""key"":""Число зубьев, z"",""value"":""35""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""30""}]","Колесо зубчатое 1М63Б.70.218 для коробки подач станка 1М63Б, z=35","Купить колесо зубчатое 1М63Б.70.218 для коробки подач станка 1М63Б. Позиция 55 по схеме, z=35, модуль 3. ТД РУССтанкоСбыт.","[{""spare_part_id"":""03a28ade-0f82-44b0-882d-966058fceb57""},{""spare_part_id"":""03a28ade-0f82-44b0-882d-966058fceb57""},{""spare_part_id"":""03a28ade-0f82-44b0-882d-966058fceb57""}]"
"Шарико-винтовая пара (ШВП) 2С132ПМФ2.36.000","sarjko-vjntovaa-para-svp-2s132pmf2-36-000","[{""key"":""Устанавливается на станке:"",""value"":""2С132ПМФ2""},{""key"":""Общая длина, мм"",""value"":""877""},{""key"":""Длина резьбы, мм"",""value"":""592""}]","ШВП 2С132ПМФ2.36.000 для привода подачи станка 2С132ПМФ2","Купить ШВП 2С132ПМФ2.36.000 для станка 2С132ПМФ2. Диаметр 50 мм, шаг 10 мм, длина 877 мм. Шарико-винтовая пара. ТД РУССтанкоСбыт
","[]"
"Колесо зубчатое 1Н65.71.154","koleso-zubcatoe-1n65-71-154","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""98""},{""key"":""Число зубьев, z"",""value"":""26""},{""key"":""Модуль, m"",""value"":""2,75""},{""key"":""Ширина обода, мм"",""value"":""14""}]","Колесо зубчатое 1Н65.71.154 для коробки подач станка 1Н65, z=26","Купить колесо зубчатое 1Н65.71.154 для коробки подач станка 1Н65 (ДИП-500). Позиция 98 по схеме, z=26, модуль 2,75. ТД РУССтанкоСбыт","[{""spare_part_id"":""041a3e28-9af5-4fe5-bbb2-0776495361de""},{""spare_part_id"":""041a3e28-9af5-4fe5-bbb2-0776495361de""},{""spare_part_id"":""041a3e28-9af5-4fe5-bbb2-0776495361de""}]"
