Tilda UID,Brand,SKU,Offers ID,Mark,Category,Title,Description,Text,Photo,Price,Quantity,Price Old,Editions,Modifications,External ID,Parent UID,Weight,Length,Width,Height,Url,Tabs:1,meta_title,meta_description
BARABAN.FARTUK.16K20,ТД РУССтанкоСбыт,BARABAN.FARTUK.16K20,,Узлы токарных станков,Узлы токарных станков>>>Фартуки,Барабан - копир на фартук станка 16К20,Барабан-копир на фартук станка 16К20 Применяется в фартуке токарно-винторезного станка мод. 16К20 служит для работы валов и осуществления работы и взаимодействия механизмов фартука станка Запасные час,"Барабан-копир на фартук станка 16К20 Применяется в фартуке токарно-винторезного станка мод. 16К20 служит для работы валов и осуществления работы и взаимодействия механизмов фартука станка Запасные части , оснастка и комплектующие изделия для токарно-винторезных станков мод.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,,,,,,,,,,,,"Характеристики
Совместимость: 1Н983;755Ф3;16Р25;16А20;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16М30",Барабан - копир на фартук станка 16К20 | ТД РУССтанкоСбыт,Барабан-копир на фартук станка 16К20 Применяется в фартуке токарно-винторезного станка мод. 16К20 служит для работы валов и осуществления работы и...
BLOKZUB.FARTUK.1M63.16360281,ТД РУССтанкоСбыт,BLOKZUB.FARTUK.1M63.16360281,,Комплектующие к узлам токарных станков,Комплектующие к узлам токарных станков>>>Кулачки,"Блок зубчатый 1М63Б_60_281 (Фартук, модель 1М63)",Блок зубчатый узла фартука; код 1М63Б_60_281; модель 1М63.,"Блок зубчатый узла фартука; код 1М63Б_60_281; модель 1М63.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,9130,,,,,,,,,,,,"Характеристики
Совместимость: 16М30;1Н983;755Ф3;16Р25;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16А20","Блок зубчатый 1М63Б_60_281 (Фартук, модель 1М63) | ТД РУССтанкоСбыт","Блок зубчатый узла фартука; код 1М63Б_60_281; модель 1М63.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01,..."
BLOKSHEST.FSS400.2849,ТД РУССтанкоСбыт,BLOKSHEST.FSS400.2849,,Комплектующие к узлам токарных станков,Комплектующие к узлам токарных станков>>>Кулачки,Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400,Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400 Применяются в консоли консольно-фрезерного станка мод .,"Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400 Применяются в консоли консольно-фрезерного станка мод .Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,,,,,,,,,,,,"Характеристики
Совместимость: 16М30;1Н983;755Ф3;16Р25;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16А20",Блок-шестерни 28/49 консольно-фрезерных станков... | ТД РУССтанкоСбыт,"Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400 Применяются в консоли консольно-фрезерного станка мод .Смотрите также:16М30Ф3, 16А20Ф3,..."
VINT.1K62.VS,ТД РУССтанкоСбыт,VINT.1K62.VS,,Узлы токарных станков,"Узлы токарных станков>>>Винты, ШВП, валы",Вал подач 1К62,Приводной вал коробки подач с шпонками/шлицами; восстанавливает передачу момента на фартук и смену подач.,"Приводной вал коробки подач с шпонками/шлицами; восстанавливает передачу момента на фартук и смену подач.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,,,,,,,,,,,,"Характеристики
Совместимость: 16М30;1Н983;755Ф3;16Р25;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16А20",Вал подач 1К62 | ТД РУССтанкоСбыт,"Приводной вал коробки подач с шпонками/шлицами; восстанавливает передачу момента на фартук и смену подач.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М,..."
SMENSHEST.VALSHEST.RT502.50233152,ТД РУССтанкоСбыт,SMENSHEST.VALSHEST.RT502.50233152,,Комплектующие к узлам токарных станков,Комплектующие к узлам токарных станков>>>Кулачки,"Вал шестерня РТ502_33_152 (Сменные шестерни/задняя бабка, модель РТ502)",Вал шестерня узла Сменные шестерни/задняя бабка; код РТ502_33_152; модель РТ502.,"Вал шестерня узла Сменные шестерни/задняя бабка; код РТ502_33_152; модель РТ502.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,14940,,,,,,,,,,,,"Характеристики
Совместимость: 16М30;1Н983;755Ф3;16Р25;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16А20",Вал шестерня РТ502_33_152 (Сменные шестерни/задняя... | ТД РУССтанкоСбыт,"Вал шестерня узла Сменные шестерни/задняя бабка; код РТ502_33_152; модель РТ502.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003,..."
SMENSHEST.VALIKKOLZUB.RT5004.5004361541,ТД РУССтанкоСбыт,SMENSHEST.VALIKKOLZUB.RT5004.5004361541,,Комплектующие к узлам токарных станков,Комплектующие к узлам токарных станков>>>Кулачки,"Вал-колесо-зуб. РТ5004_36_154_1 (Сменные шестерни/задняя бабка, модель РТ5004)",Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_154_1; модель РТ5004.,"Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_154_1; модель РТ5004.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,11620,,,,,,,,,,,,"Характеристики
Совместимость: 16М30;1Н983;755Ф3;16Р25;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16А20",Вал-колесо-зуб. РТ5004_36_154_1 (Сменные... | ТД РУССтанкоСбыт,"Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_154_1; модель РТ5004.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001,..."
SMENSHEST.VALIKKOLZUB.RT5004.500436159,ТД РУССтанкоСбыт,SMENSHEST.VALIKKOLZUB.RT5004.500436159,,Комплектующие к узлам токарных станков,Комплектующие к узлам токарных станков>>>Кулачки,"Вал-колесо-зуб. РТ5004_36_159 (Сменные шестерни/задняя бабка, модель РТ5004)",Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_159; модель РТ5004.,"Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_159; модель РТ5004.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,14940,,,,,,,,,,,,"Характеристики
Совместимость: 16М30;1Н983;755Ф3;16Р25;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16А20",Вал-колесо-зуб. РТ5004_36_159 (Сменные... | ТД РУССтанкоСбыт,"Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_159; модель РТ5004.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001,..."
SMENSHEST.VALIKKOLZUB.RT5004.500436164,ТД РУССтанкоСбыт,SMENSHEST.VALIKKOLZUB.RT5004.500436164,,Комплектующие к узлам токарных станков,Комплектующие к узлам токарных станков>>>Кулачки,"Вал-колесо-зуб. РТ5004_36_164 (Сменные шестерни/задняя бабка, модель РТ5004)",Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_164; модель РТ5004.,"Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_164; модель РТ5004.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,12450,,,,,,,,,,,,"Характеристики
Совместимость: 16М30;1Н983;755Ф3;16Р25;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16А20",Вал-колесо-зуб. РТ5004_36_164 (Сменные... | ТД РУССтанкоСбыт,"Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_164; модель РТ5004.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001,..."
FARTUK.VALSHEST.1M63.16361231,ТД РУССтанкоСбыт,FARTUK.VALSHEST.1M63.16361231,,Комплектующие к узлам токарных станков,Комплектующие к узлам токарных станков>>>Кулачки,"Вал-шестерня 1М63_61_231 (Фартук, модель 1М63)",Вал-шестерня узла фартука; код 1М63_61_231; модель 1М63.,"Вал-шестерня узла фартука; код 1М63_61_231; модель 1М63.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,13280,,,,,,,,,,,,"Характеристики
Совместимость: 16М30;1Н983;755Ф3;16Р25;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16А20","Вал-шестерня 1М63_61_231 (Фартук, модель 1М63) | ТД РУССтанкоСбыт","Вал-шестерня узла фартука; код 1М63_61_231; модель 1М63.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01,..."
KOLZUBPERBABK.164_164_02_177,ТД РУССтанкоСбыт,KOLZUBPERBABK.164_164_02_177,,Комплектующие к узлам токарных станков,Комплектующие к узлам токарных станков>>>Кулачки,Валик колесо зубчатое 164_02_177 (Шпиндельная бабка),Запасная часть узла шпиндельной бабки; код 164_02_177.,"Запасная часть узла шпиндельной бабки; код 164_02_177.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,32370,,,,,,,,,,,,"Характеристики
Совместимость: 16М30;1Н983;755Ф3;16Р25;1Н65;16К40;1М63;1А983;16К20;779Ф3;1М65;16А20",Валик колесо зубчатое 164_02_177 (Шпиндельная бабка) | ТД РУССтанкоСбыт,"Запасная часть узла шпиндельной бабки; код 164_02_177.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02,..."
