SKU,Title,Text,Description
BARABAN.FARTUK.16K20,Барабан - копир на фартук станка 16К20,"Барабан-копир на фартук станка 16К20 Применяется в фартуке токарно-винторезного станка мод. 16К20 служит для работы валов и осуществления работы и взаимодействия механизмов фартука станка <br />Запасные части , оснастка и комплектующие изделия для токарно-винторезных станков мод. 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, и т.д. ВАЛЫ , ВАЛ - РЕЙКИ , ВАЛ - ШЕСТЕРНИ, ВИНТЫ ХОДОВЫЕ И ПОПЕРЕЧНЫХ ПОДАЧ, ГАЙКИ МАТОЧНЫЕ, ДИСКИ ФРИКЦИОННЫЕ, КОЛЁСА ЗУБЧАТЫЕ , КОНИЧЕСКИЕ , ЧЕРВЯЧНЫЕ ПАРЫ, ОБГОННЫЕ МУФТЫ, РЕЗЦЕДЕРЖАТЕЛИ, ФРИЦИОННЫЕ МУФТЫ, ШКИВЫ ГЛАВНОГО ПРИВОДА, ЭЛЕКТРОМУФТЫ Револьверные головки, ШВП (Шарико-винтовые пары, передачи) комплектующие и оснастка для токарных патронов (кулачки, винты, шестерни, венцы, ползушки, сухари) и т.д.",
BLOKZUB.FARTUK.1M63.16360281,"Блок зубчатый 1М63Б_60_281 (Фартук, модель 1М63)",Блок зубчатый узла фартука; код 1М63Б_60_281; модель 1М63.,
BLOKSHEST.FSS400.2849,Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400,"Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400 Применяются в консоли консольно-фрезерного станка мод . FSS400 служит для осуществления работы и взаимодействия механизмов консоли и стола станка поставляется в паре. Запасные части , оснастка и комплектующие изделия для токарно-винторезных станков мод. 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, 6620, FU400 и т.д. ВАЛЫ , ВАЛ - РЕЙКИ , ВАЛ - ШЕСТЕРНИ, ВИНТЫ ХОДОВЫЕ И ПОПЕРЕЧНЫХ ПОДАЧ, ГАЙКИ МАТОЧНЫЕ, ДИСКИ ФРИКЦИОННЫЕ, КОЛЁСА ЗУБЧАТЫЕ , КОНИЧЕСКИЕ , ЧЕРВЯЧНЫЕ ПАРЫ, ОБГОННЫЕ МУФТЫ, РЕЗЦЕДЕРЖАТЕЛИ, ФРИЦИОННЫЕ МУФТЫ, ШКИВЫ ГЛАВНОГО ПРИВОДА, ЭЛЕКТРОМУФТЫ Револьверные головки, ШВП (Шарико-винтовые пары, передачи) комплектующие и оснастка для токарных патронов (кулачки, винты, шестерни, венцы, ползушки, сухари) и т.д.",
BLOKSHEST.FSS400.2849,Блок.шестерни 28/49 консольно.фрезерных станков мод. FSS 400,"Применяются в консоли консольно.фрезерного станка мод . FSS400 служит для осуществления работы и взаимодействия механизмов консоли и стола станка поставляется в паре. Запасные части , оснастка и комплектующие изделия для токарно.винторезных станков мод. 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, 6620, FU400 и т.д. ВАЛЫ , ВАЛ . РЕЙКИ , ВАЛ . ШЕСТЕРНИ, ВИНТЫ ХОДОВЫЕ И ПОПЕРЕЧНЫХ ПОДАЧ, ГАЙКИ МАТОЧНЫЕ, ДИСКИ ФРИКЦИОННЫЕ, КОЛЁСА ЗУБЧАТЫЕ , КОНИЧЕСКИЕ , ЧЕРВЯЧНЫЕ ПАРЫ, ОБГОННЫЕ МУФТЫ, РЕЗЦЕДЕРЖАТЕЛИ, ФРИЦИОННЫЕ МУФТЫ, ШКИВЫ ГЛАВНОГО ПРИВОДА, ЭЛЕКТРОМУФТЫ Револьверные головки, ШВП (Шарико.винтовые пары, передачи) комплектующие и оснастка для токарных патронов (кулачки, винты, шестерни, венцы, ползушки, сухари) и т.д.",
VINT.1K62.VS,Вал подач 1К62,Приводной вал коробки подач с шпонками/шлицами; восстанавливает передачу момента на фартук и смену подач.,
SMENSHEST.VALSHEST.RT502.50233152,"Вал шестерня РТ502_33_152 (Сменные шестерни/задняя бабка, модель РТ502)",Вал шестерня узла Сменные шестерни/задняя бабка; код РТ502_33_152; модель РТ502.,
SMENSHEST.VALIKKOLZUB.RT5004.5004361541,"Вал-колесо-зуб. РТ5004_36_154_1 (Сменные шестерни/задняя бабка, модель РТ5004)",Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_154_1; модель РТ5004.,
SMENSHEST.VALIKKOLZUB.RT5004.500436159,"Вал-колесо-зуб. РТ5004_36_159 (Сменные шестерни/задняя бабка, модель РТ5004)",Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_159; модель РТ5004.,
SMENSHEST.VALIKKOLZUB.RT5004.500436164,"Вал-колесо-зуб. РТ5004_36_164 (Сменные шестерни/задняя бабка, модель РТ5004)",Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_164; модель РТ5004.,
FARTUK.VALSHEST.1M63.16361231,"Вал-шестерня 1М63_61_231 (Фартук, модель 1М63)",Вал-шестерня узла фартука; код 1М63_61_231; модель 1М63.,
