ID_товара	Название	Описание	Ключевые_слова	Цена	Валюта	Единица_измерения	Наличие	Тип_опт_розница	Рубрика	Фотография	Артикул	Производитель	Страна_производитель
1557692	Насос шестеренчатый FU400.03.11.000	Насос FU400.03.11.000 представляет собой гидравлический или масляный насос, используемый в приводах фрезерных или токарн...	Насос шестеренчатый для станков FU400 и FU450	39500	руб	шт.	в наличии		shesterennye-nasosy				Россия
1531450	Обработка мостика задней бабки станка 1М63Н на расточном станке	Основные этапы процесса: <p>1. Подготовка: - Подготовка рабочего места; - Проверка состояния режущего инструмента; - Уста...	Каталог	1	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		ñòàíêå		
1531448	Тяжёлый токарный станок РТ817 для обработки осей колёсных пар вагонов ОАО &#171;РЖД&#187;	Характеристики и возможности Станок характеризуется высокой точностью механической обработки, возможностью обработки дет...	Каталог	1	руб	шт.	под заказ	опт и розница	stanok-tokarno-vintoreznyj				Россия
1531447	Винт поперечный&nbsp;&#151; кареточный (винт две гайки) (Для станков 1Н65, 1М65, 165, ДИП500, РТ117, РТ817 и т.д.)	Винт поперечный- кареточный (винт две гайки) (Для станков 1Н65, 1М65, 165, ДИП500, РТ117, РТ817 и т.д.) Винт трап 36х6мм...	Винт поперечный- кареточный (винт две гайки) (Для станков 1Н65, 1М65, 165, ДИП500, РТ117, РТ817 и т.д.) Винт трап 36х6мм	1	руб	шт.	в наличии	опт и розница	vint-poperechnoj-podachi		Ìîñêâå		Россия
1531446	Муфта обгонная для токарно-винторезных станков 16Р25П, 16Р25, 1М63, 1М65, 1Н65	Муфта обгонная для станков 16Р25П, 16Р25 используется на токарных станках для регулирования числа оборотов ходового вала...	Муфта обгонная 1М63, муфта обгонная 1М65, обгонка 1м63, обгонка 1М65	1	руб	шт.	в наличии	опт и розница	mufta-obgonnaya		16Ð25		
1531445	Шестерни коробки реверса станков 1Н983, 1А983, 1М983, РТ983, СА983	Шестерни коробки реверса станков 1Н983, 1А983, 1М983, РТ983, СА983 <p>Шестерни применяется в коробке реверса трубообрабат...	Шестерни коробки 1Н983, шестерни коробки 1А983, шестерни 1М983, шестерни РТ983, шестерни СА983	1	руб	шт.	в наличии	опт и розница	shesterni-dlya-stankov		ÑÀ983		Россия
1531444	Конические шестерни верхнего суппорта станка 1М63Н, 1М63,163, ДИП300,16К40	Конические шестерни верхнего суппорта станка 1М63Н, 1М63, 163, ДИП300, 16К40 Применяется в верхнем суппорте токарно-винт...	Конические шестерни верхнего суппорта станка 1М63Н, 1М63, 163, ДИП300, 16К40	1	руб	шт.	в наличии	опт и розница	shesterni-dlya-stankov		16Ê40		Россия
1531443	Маточная гайка для токарно-винторезных станков моделей 6Р25П,16Р25	Маточная гайка для токарно-винторезных станков мод. 16Р25П, 16Р25 <p>Применяется в фартуках токарно-винторезных станков в...	Маточная гайка 16Р25П,маточная гайка для 16Р25	1	руб	шт.	в наличии	опт и розница	gajka-matochnaya		16Ð25		Россия
1531442	Литье корпусных изделий токарных станков и промышленного оборудования	Основные этапы процесса литья: 1. Подготовка литейной формы - Изготовление модели или шаблона будущей детали. - Формиров...	Каталог	1	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		îáîðóäîâàíèÿ		
1531441	Маточная гайка для станков моделей ДИП300, 1М63, 1М63Н, 16К40	Маточная гайка для станков мод. 1М63, 1М63Н, ДИП300, 16К40 с РМЦ 5000мм. Применяется в фартуках токарно-винторезных стан...	Маточная гайка ДИП300, маточная гайка 1М63, маточная гайка 1М63Н, маточная гайка 16К40	1	руб	шт.	в наличии	опт и розница	gajka-matochnaya		5000ìì		Россия
1531440	Поддержка винта-вала 1М63.11.001	Поддержка винта-вала для станков 1М63, 163, 1М63Н, ДИП300, 16К40, 16Р40) <p><p>Запасные части для станков 1М63, 1М63Н, 163...	Поддержка винта 1М63, поддержка вала 1М63, поддержка 1М63.11.001	0	руб	шт.	в наличии	опт и розница	vint-poperechnoj-podachi		1Ì63.11.001		
1531439	Токарно&nbsp;&#151; винторезный станок (трубообрабатывающий)  модель СА564	Станок токарно-винторезный универсальный повышенной точности моделей СА564 предназначен для выполнения самых разнообразн...	СА564, станок СА562, Станок СА564	1	руб	шт.	под заказ	опт и розница	stanok-tokarno-vintoreznyj		ÑÀ564Ñ150Ë-02		Россия
1531437	Фрезерные станки мод. 6Т12	Фрезерный станок - это станок для обработки металлических и других деталей фрезой при поступательном перемещении заготов...	Каталог	6	руб	шт.	в наличии	опт и розница	stanok-vertikalno-frezernyj		6Ò12		
1531436	Ролики упрочняющий, сглаживающий в сборе для токарно-накатных станков РТ301, РТ30101	Ролики упрочняющий, сглаживающий в сборе для токарно-накатных станков РТ301, РТ30101 Используются на токарно-накатном об...	Ролик упрочняющий, ролик сглаживающий, ролики в сборе для токарно-накатных станков РТ301, РТ30101	1	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		ÐÒ30101		
1531435	Центр поводкового патрона специального токарно-накатного станка РТ30101 (РТ301)	Используются со шпонкой в поводковом патроне специальных токарно-накатных станках мод. РТ30101 (РТ301). <p>Применяются дл...	центр поводковый на РТ301, поводковый патрон РТ301, центр поводковый РТ301, поводвковый патрон РТ30101	1	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		ÐÒ30101		Россия
1528435	Кожух защитный патрона ?500	Защитный экран патрона 500 с прозрачной вставкой; улучшает безопасность и обзор зоны обработки....	All	5200	руб	шт.	под заказ	опт и розница	patron-tokarnyj		CG-500		
1528431	Винты крепления кулачков (комплект)	Набор винтов повышенной прочности для крепления кулачков; устойчивы к циклическим нагрузкам....	All	560	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		VCK-SET		
1528429	Патрон токарный 4-кулачковый ?630 (независимый)	Четырёхкулачковый &#216;630 для точной центровки крупногабаритных деталей; повышенная жёсткость корпуса и точные посадки...	All	138000	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P4-630-G2675		
1528428	Патрон токарный 4-кулачковый ?250 (независимый)	Точный зажим несимметричных заготовок за счет независимой регулировки каждого кулачка; снижение биения при тонкой настро...	All	27400	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P4-250-G2675		
1528423	Комплект пылезащитных колпачков	Пылезащитные колпачки на окна ползушек; снижают загрязнение механизма и повышают ресурс патрона....	All	540	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		DUSTCAP-SET		
1528422	Клинья регулировочные (комплект)	Регулировочные клинья для выверки патрона и планшайбы; упрощают точное базирование на шпинделе....	All	980	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		WEDGE-SET-CH		
1528418	Кожух защитный патрона ?400	Защитный кожух патрона &#216;400; снижает риск травм и удерживает стружку в рабочей зоне....	All	4200	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		CG-400		
1528415	Комплект болтов крепления патрона ?315	Стандартный крепеж под планшайбу &#216;315; прочность и длина подобраны для безопасной установки....	All	600	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		CBS-315-SET		
1528409	Кулачки твёрдые комплект ?200	Закалённый комплект для уверенного зажима при черновой обработке; повышенный ресурс рабочих граней....	All	5200	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWH-200-M5		
1528408	Кулачки мягкие комплект ?200	Мягкие кулачки под доводку в размер; позволяют получать чистовую геометрию без деформаций заготовки на заключительных оп...	All	4200	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWS-200-M5		
1528407	Патрон токарный 4-кулачковый ?200 (независимый)	Независимая настройка кулачков для точной центровки несимметричных заготовок; аккуратная фиксация тонкостенных деталей....	All	22600	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P4-200-G2675		
1528406	Патрон токарный 3-кулачковый ?160	Компактный &#216;160 для мелких деталей; синхронный механизм обеспечивает повторяемость базирования в мелкосерийном прои...	All	18900	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-160-G2675		
1528405	Патрон токарный 3-кулачковый ?200	Универсальный самоцентрирующий патрон &#216;200 для учебных и производственных токарных; быстрый зажим и стабильное биен...	All	21400	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-200-G2675		
1528404	Переходная планшайба 16К20 под патрон ?400	Переходная планшайба под &#216;400 для 16К20; точные посадки и комплект крепежа для быстрой модернизации....	All	7900	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		PLA-16K20-400		
1528403	Переходная планшайба 1К62 под патрон ?315	Переходная планшайба для установки патрона &#216;315 на шпиндель 1К62; обеспечивает правильную базировку и крепление....	All	6200	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		PLA-1K62-315		
1528402	Кулачки базовые комплект ?400	Базовые кулачки для быстрого перехода между мягкими/твёрдыми вставками; жёсткое сочленение с ползушками....	All	12600	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWB-400-M8		
1528401	Кулачки базовые комплект ?315	Базовые кулачки для установки сменных вставок; фиксированная база облегчает переналадку под разные диаметры....	All	9800	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWB-315-M6		
1528400	Ползушки патрона комплект ?400	Ползушки модуля 8 под усиленный зажим; обеспечивают равномерный ход кулачков без заеданий....	All	4800	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		CSL-400-M8		
1528399	Ползушки патрона комплект Ф315	Комплект ползушек для патрона Ф315 мм, используется для восстановления механизма зажима патрона; <p>Точные направляющие п...	All	1	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		CSL-315-M6		
1528394	Планшайба ?630	Планшайба &#216;630 для крупногабаритной оснастки; точность базирования и комплект метизов в поставке....	All	48600	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		PL-630-V		
1528393	Планшайба ?500	Планшайба &#216;500 под установку универсальных и независимых патронов; жесткая фланцевая посадка....	All	39600	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		PL-500-V		
1528392	Планшайба ?400	Планшайба &#216;400 для крепления патронов и заготовок; точная базовая поверхность и комплект крепежа....	All	21400	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		PL-400-V		
1528391	Кулачки твёрдые комплект ?500	Комплект твёрдых кулачков для уверенного зажима массивных деталей; рассчитаны на интенсивную эксплуатацию....	All	16900	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWH-500-M8		
1528390	Кулачки твёрдые комплект ?400	Усиленные кулачки для стабильного зажима крупных заготовок; ресурсная термообработка и точные посадки....	All	12600	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWH-400-M8		
1528389	Кулачки твёрдые комплект ?315	Закалённые кулачки для черновых режимов; повышенная износостойкость зубчатого зацепления и рабочих граней....	All	7800	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWH-315-M6		
1528388	Кулачки мягкие комплект ?315	Комплект мягких кулачков для чистовых операций; точная подгонка под конкретный диаметр снижает биение....	All	6900	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWS-315-M6		
1528387	Кулачки мягкие комплект ?250	Мягкие кулачки под доводку в размер на станке; обеспечивают щадящий зажим и чистовую точность отверстий....	All	5200	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWS-250-M6		
1528386	Патрон токарный 4-кулачковый ?500 (независимый)	Надёжная фиксация и точная центровка крупных несимметричных деталей; удобная регулировка каждого кулачка отдельно....	All	94500	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P4-500-G2675		
1528385	Патрон токарный 4-кулачковый ?400 (независимый)	Четырёхкулачковый &#216;400 с независимой настройкой для точной центровки, подходит для специальных операций и трубных з...	All	64800	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P4-400-G2675		
1528384	Патрон токарный 4-кулачковый ?315 (независимый)	Независимая настройка каждого кулачка позволяет точно центровать несимметричные заготовки и тонкостенные детали без дефо...	All	35600	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P4-315-G2675		
1528383	Патрон токарный 3-кулачковый ?800 (усиленный)	Усиленный &#216;800 с ресурсной спиралью под тяжёлые режимы точения; рекомендован для модернизации с планшайбой &#216;80...	All	189000	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-800-G2675U		
1528382	Патрон токарный 3-кулачковый ?630	Самоцентрирующий &#216;630 под планшайбу; предназначен для зажима массивных колец и фланцев, сохраняет повторяемость баз...	All	126000	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-630-G2675		
1528381	Патрон токарный 3-кулачковый ?500	Крупный &#216;500 для универсальных токарных; надежный синхронный зажим с сохранением биения в пределах класса Н на длит...	All	89000	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-500-G2675		
1528380	Патрон токарный 3-кулачковый ?400	Универсальный &#216;400 для средних и тяжёлых режимов; усиленное тело и жесткая посадка кулачков обеспечивают стабильную...	All	59800	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-400-G2675		
1528379	Патрон токарный 3-кулачковый ?315	Патрон &#216;315 для большинства винторезных станков; быстрый зажим круглых и шестигранных заготовок, ресурсный спиральн...	All	31800	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-315-G2675		
1528378	Патрон токарный 3-кулачковый ?250	Компактный самоцентрирующий патрон &#216;250 для универсальных токарных; обеспечивает синхронный зажим и стабильность би...	All	24800	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-250-G2675		
1528367	Центр вращающийся М4 (P5)	Вращающийся центр М4 с точностью P5; улучшает чистоту поверхности и стабильность обработки....	All	2950	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		LC-M4-P5		
1528366	Центр вращающийся М5 (P5)	Вращающийся центр М5 точности P5; поддержка длинных деталей, снижение вибраций....	All	3500	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		LC-M5-P5		
1528364	Редуктор РТ в сборе	Сборочный редуктор трубонарезного станка с установленными зубчатыми парами; быстрое восстановление передач....	All	94500	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		RT-GBX-ASSY		
1528358	Палец индексации рев. головки	Закалённый палец индексации для револьверной головки; обеспечивает чёткую фиксацию позиции инструмента....	All	900	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		TIP-01		
1528355	Фильтр СОЖ 100 мкм	Сменный картридж фильтрации СОЖ 100 мкм; защищает насос и форсунки от абразивных включений....	All	950	руб	шт.	под заказ	опт и розница	trubki-podachi-sozh		CF-100		
1528354	Эл. двигатель 11 кВт 1500 об/мин	Асинхронный двигатель 11 кВт 1500 об/мин, исполнение B3; надёжный привод для тяжёлых режимов....	All	45900	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		M-11-1500-B3		
1528353	Эл. двигатель 7.5 кВт 1500 об/мин	Асинхронный двигатель 7.5 кВт 1500 об/мин, исполнение B3; совместим с ПЧ 7.5 кВт....	All	38900	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		M-7.5-1500-B3		
1528351	Клин каретки 1К62	Регулировочный клин для поддержания точности направляющих и стабильности обработки на 1К62....	All	1400	руб	шт.	под заказ	опт и розница	karetka-stanka		GIB-1K62		
1528350	Клин каретки 16К20	Регулировочный клин каретки; восстанавливает прижим направляющих и устраняет люфт суппорта 16К20....	All	1400	руб	шт.	под заказ	опт и розница	karetka-stanka		GIB-16K20		
1528346	Электрошкаф 16К20	Пустой шкаф IP54 для компоновки электрооборудования станка 16К20; защита аппаратуры и упорядоченный монтаж....	All	15900	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		EB-16K20-IP54		
1528345	Бак СОЖ 60 л	Резервуар СОЖ 60 л с фильтрацией; готов к подключению насоса, упрощает обслуживание системы охлаждения....	All	8700	руб	шт.	под заказ	опт и розница	trubki-podachi-sozh		CT-60-F		
1528344	Пара шестерен m=5, N6	Согласованная пара модуля 5 с качеством N6; сниженная шумность и долговечность передачи подач....	All	19800	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		GP-M5-30-90		
1528343	Блок резцедержателя 32 мм	Усиленный блок под резцы 32?32; рассчитан на тяжёлые режимы и стабильную чистоту поверхности....	All	6200	руб	шт.	под заказ	опт и розница	rezcederzhateli		RTB-32		
1528342	Блок резцедержателя 25 мм	Инструментальный блок под резцы 25?25; жёсткая фиксация и ускоренная смена инструмента в револьверной головке....	All	5400	руб	шт.	под заказ	опт и розница	rezcederzhateli		RTB-25		
1528339	Винт ходовой 50?10 L=2000	Длинномерный трапецеидальный винт 50?10 для продольной подачи тяжёлых токарных; повышенная несущая способность....	All	48900	руб	шт.	под заказ	опт и розница	vint-poperechnoj-podachi		VH-50x10-2000		
1528338	Ползушки патрона комплект	Комплект ползушек для механизма зажима (модуль 10); точные посадки обеспечивают равномерный ход кулачков....	All	6900	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		CSL-M10-SET		
1528336	Комплект кулачков РТ	Закалённые кулачки для патрона трубонарезного станка; надёжный зажим трубы под тяжёлые режимы....	All	22800	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		RT-JAWS-H		
1528332	Вал подач 1К62	Приводной вал коробки подач с шпонками/шлицами; восстанавливает передачу момента на фартук и смену подач....	All	8700	руб	шт.	под заказ	опт и розница	vint-poperechnoj-podachi		VS-1K62		
1528331	Полугайки ходового винта 1К62	Бронзовые полугайки для включения резьб/подач; снижают люфт, восстанавливают кинематику фартука....	All	5200	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		PG-1K62		
1528330	Пиноль задней бабки М4	Пиноль с конусом М4 и нанесённой шкалой; возвращает точность центрации и удобство настройки задней бабки. Может поставля...	All	1	руб	шт.	в наличии	опт и розница	zadnyaya-babka		Q-M4-ZB		
1528328	Насос СОЖ 40 л/мин	Погружной насос СОЖ на 40 л/мин, 380 В; стабильная подача эмульсии к зоне резания....	All	7900	руб	шт.	под заказ	опт и розница	nasos-dlya-stanka		CP-40L-380		
1528320	Ролик накатной UBB-112	Закалённый накатной ролик для профилирования поверхности железнодорожного колеса; поставка комплектная для быстрой замен...	All	34500	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		WT-ROL-112		
1528319	Пара шестерен m=8 для РТ	Согласованная пара шестерён модуля 8 для редуктора РТ; обеспечивает паспортные скорости и крутящий момент....	All	23900	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		RT-GP-M8-42-84		
1528309	Планшайба ?1000	Патрон 1000 4-х кулачковый (например, модели 165.09.000) — это тяжелый токарный патрон с независимым перемещением кулачк...	All	855000	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		PL-1000-V		
1528307	Шпиндельный узел РТ783	Собранный шпиндельный узел для трубонарезного станка; восстановление точности резьбонарезания и устойчивости на тяжёлых ...	All	265000	руб	шт.	под заказ	опт и розница	shpindel-stanka		SPU-RT783		
1528305	Рейка зубчатая M3 L=1500	Шлифованная рейка модуля 3 с качеством поверхности Ra 1.6; стабильная работа линейных приводов и вспомогательных механиз...	All	5400	руб	шт.	под заказ	опт и розница	rejki-zubchatye		R-M3-1500		
1528304	Опоры ходового винта комплект	Комплект передней и задней опор ходового винта; обеспечивает соосность и регулируемое преднатяжение подшипников узла под...	All	6900	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		OP-LS-SET		
1528303	Фартук в сборе 16К20	ФАРТУКИ ТОКАРНЫХ СТАНКОВ<p>Что такое фартук токарного станка<p>Фартук — механизм преобразования вращательного движения ход...	All	250000	руб	шт.	под заказ	опт и розница	fartuk-stanka		APR-16K20		
