Перечень основных характеристик и параметров элементов к схеме кинематической принципиальной								Перечень основных характеристик и параметров элементов к схеме кинематической принципиальной						
Зона (куда входит)	Поз. обозначение см. рис.	Число зубьев зубчатых колес или заходов червяков, ходовых винтов и гаек	Модуль или шаг, мм	Ширина обода зубчатого колеса, диаметр червяка, винта, мм	Обозначение	Название		Зона (куда входит)	Поз. обозначение см. рис.	Число зубьев зубчатых колес или заходов червяков, ходовых винтов и гаек	Модуль или шаг, мм	Ширина обода зубчатого колеса, диаметр червяка, винта, мм	Обозначение	Название
Бабка передняя	1	-	-	-	165.01.021	Шкив		Коробка подач с питчевыми резьбами 	100	34	2,5	16	16М50.70.167	Колесо зубчатое
	2	-	-	-	1А64.02.761	Шкив			101	30	3	16	16М50.70.166	Колесо зубчатое
	3	32	3,5	25	165.02.446	Колесо зубчатое			102	27	3,5	16	16М50.70.165	Колесо зубчатое
	4	54		25	1А64.02.842	Колесо зубчатое			103	36	2,75	16	16М50.70.164	Колесо зубчатое
	5	21	4	30	1А64.02.841	Колесо зубчатое			104	48	2,5	16	16М50.70.163	Колесо зубчатое
	6	35		30	1А64.02.848	Колесо зубчатое			105	42	2,75	16	16М50.70.162	Колесо зубчатое
	7	49		30	1А64.02.862	Колесо зубчатое			106	39	2,75	16	16М50.70.161	Колесо зубчатое
	8	35		30	1А64.02.864	Колесо зубчатое			107	36	2,75	16	16М50.70.160	Колесо зубчатое
	9	18	6	27	1А64.02.865	Колесо зубчатое			108	44	2,5	10	16М50.70.158	Колесо зубчатое
	10	21	4,5	65	1А64.02.853	Колесо зубчатое			109	44	2,5	16	1Н65.71.165	Колесо зубчатое
	11	42	4	22	1А64.02.861	Колесо зубчатое			110	34	2,5	16	16М50.70.156	Колесо зубчатое
	12	36	5	29	1А64.02.348	Колесо зубчатое			111	51	2,5	16	16М50.70.155	Колесо зубчатое
	13	49	4	30	1А64.02.34s9	Колесо зубчатое			112	68	2,5	16	16М50.70.153	Колесо зубчатое
	14	38	6	27	165.02.801	Колесо зубчатое			113	34	2,5	16	1Н65.71.009 	Колесо зубчатое
	15	42	4	24	165.02.800	Колесо зубчатое			114	51	2,5	14	1Н65.71.156	Колесо зубчатое
	16	59	4,5	56	1А64.02.851	Колесо зубчатое			115	67	2,75	14	16М50.70.151	Колесо зубчатое
	17	36	5	30	1А64.02.850	Колесо зубчатое		Фартук	116	28	3	25	1Н65.60.170	Колесо зубчатое-муфта
	18	50		51	165.02.439	Колесо зубчатое			117	30		25	164.06.164	Колесо зубчатое
	19	24		60	1А64.02.381	Колесо зубчатое			118	48	3,5	30	1А64.06.123	Венец
	20	48	6	80	165.02.160	Колесо зубчатое			119	4		77	1А64.06.437	Червяк
	21	20	5	35	165.02.410	Вал - колесо зубчатое			120	32		20	1Н65.60.178	Колесо зубчатое
	22	75	6	70	165.02.151	Колесо зубчатое			121	51		20	1А64.06.398	Колесо зубчатое
	23	60	5	50	165.02.152	Колесо зубчатое			122	18		34	1Н65.60.161	Валик - колесо зубчатое
	24	40		50	165.02.372	Колесо зубчатое			123	68		30	1М64.60.199	Колесо зубчатое
	25	40		18	165.02.406	Колесо зубчатое			124	12	5	58	1Н65.60.168/1	Валик - колесо зубчатое
	26	50		22	165.02.406	Колесо зубчатое			125	53	3,5	16	1Н65.60.176/1	Колесо зубчатое
	27	35	3	22	1А64.02.832	Колесо зубчатое			126	53		34	1Н65.60.181	Колесо зубчатое
