ID,Title,SKU,Type,Brand,Category_Path,Price,Currency,Compatible_SKUs,Short_Description,Full_Description,Weight_KG,Power_KW,Dimensions_MM,Voltage_V,Main_Photo,Gallery_Photos,Status
AUTO.16М30Ф3,Специальные токарные станки с ЧПУ мод. 16М30Ф3 (16К30Ф3) РМЦ 1500-3000мм.,AUTO.16М30Ф3,spare,РУССтанкоСбыт,Станки >>> Комплектующие к станкам,1.0,RUB,16К20,"Специальные токарные станки с#nbsp;ЧПУ мод. 16М30Ф3 (16К30Ф3) РМЦ 1500−3000мм.Смотрите также:16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004","Специальные токарные станки с#nbsp;ЧПУ мод. 16М30Ф3 (16К30Ф3) РМЦ 1500−3000мм.Смотрите также:16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,published
AUTO.GEN,Станки для железнодорожной отрасли​​​​​​​,AUTO.GEN,spare,РУССтанкоСбыт,Станки >>> Комплектующие к станкам,1.0,RUB,16К20,"Стоимость согласно ТЗ заказчикаСмотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16","Стоимость согласно ТЗ заказчикаСмотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,https://static.tildacdn.com/tild3766-6338-4264-b332-303865353239/photo_2025-10-20_210.jpeg,,published
AUTO.М4,Центр вращающийся М4 (P5),AUTO.М4,spare,РУССтанкоСбыт,Станки >>> Комплектующие к станкам,1.0,RUB,16К20,"Вращающийся центр М4 с точностью P5; улучшает чистоту поверхности и стабильность обработки.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, ","Вращающийся центр М4 с точностью P5; улучшает чистоту поверхности и стабильность обработки.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,published
AUTO.М5,Центр вращающийся М5 (P5),AUTO.М5,spare,РУССтанкоСбыт,Станки >>> Комплектующие к станкам,1.0,RUB,16К20,"Вращающийся центр М5 точности P5; поддержка длинных деталей, снижение вибраций.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ50","Вращающийся центр М5 точности P5; поддержка длинных деталей, снижение вибраций.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,published
AUTO.РТ301,Специальный токарно-накатной станок РТ301,AUTO.РТ301,machine,РУССтанкоСбыт,Станки>>>Станки токарные,1.0,RUB,16К20,"Специальный токарно-накатной станок РТ301 для чистовой накатки поверхностей и упрочненияСмотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5","Специальный токарно-накатной станок РТ301 для чистовой накатки поверхностей и упрочненияСмотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,,,published
AUTO.РТ30101,Центр поводкового патрона специального токарно-накатного станка РТ30101 (РТ301),AUTO.РТ30101,spare,РУССтанкоСбыт,Комплектующие к станкам;Комплектующие к узлам токарных станков>>>Патроны;Патроны,119520.0,RUB,16К20,"Используются со шпонкой в поводковом патроне специальных токарно-накатных станках мод. РТ30101 (РТ301).Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305","Используются со шпонкой в поводковом патроне специальных токарно-накатных станках мод. РТ30101 (РТ301).Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,published
AUTO.РТ783,Фартук РТ783 (ремкомплект),AUTO.РТ783,spare,РУССтанкоСбыт,Комплектующие к станкам;Узлы токарных станков>>>Фартуки,1.0,RUB,16К20,"Комплект валиков, шестерён и уплотнений для восстановления фартука; возвращает чёткость включения режимов.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ","Комплект валиков, шестерён и уплотнений для восстановления фартука; возвращает чёткость включения режимов.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонтСборочный узел фартука с механизмами включения; обеспечивает корректное переключение подач и резьб без люфтов.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,published
AUTO.РТ983,Фартук РТ983 (ремкомплект),AUTO.РТ983,spare,РУССтанкоСбыт,Комплектующие к станкам;Узлы токарных станков>>>Фартуки,1.0,RUB,16К20,"Комплект валиков, шестерён, фиксаторов и уплотнений; восстановление чёткости включения и ресурса фартука.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ3","Комплект валиков, шестерён, фиксаторов и уплотнений; восстановление чёткости включения и ресурса фартука.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонтСборочный фартук с механизмами включения подач и резьб; минимизирует люфты, обеспечивает повторяемую настройку режимов.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,published
AUTO.РУ1,"Проведение нескольких операций как чистовая проточка жд осей РУ1 и РУ1Ш, так...",AUTO.РУ1,spare,РУССтанкоСбыт,Станки >>> Комплектующие к станкам,1.0,RUB,16К20,"Оси РУ1 и РУ1Ш—это типы железнодорожных осей, которые используются в разных типах вагонов. Ось РУ1 предназначена для немоторных электро- и дизель-поез","Оси РУ1 и РУ1Ш—это типы железнодорожных осей, которые используются в разных типах вагонов. Ось РУ1 предназначена для немоторных электро- и дизель-поездов, максимальная расчётная статическая нагрузка от колёсной пары на рельсы для таких осей—186,0 (19,0) кН (тс).Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К20, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,https://static.tildacdn.com/tild3839-3337-4534-b336-356434316335/photo_2025-10-19_170.jpeg,,published
BARABAN.FARTUK.16K20,Барабан - копир на фартук станка 16К20,BARABAN.FARTUK.16K20,spare,Красный Пролетарий,Комплектующие к станкам;Узлы токарных станков>>>Фартуки,1.0,RUB,16К20,Барабан-копир на фартук станка 16К20 Применяется в фартуке токарно-винторезного станка мод. 16К20 служит для работы валов и осуществления работы и вза,"Барабан-копир на фартук станка 16К20 Применяется в фартуке токарно-винторезного станка мод. 16К20 служит для работы валов и осуществления работы и взаимодействия механизмов фартука станка Запасные части , оснастка и комплектующие изделия для токарно-винторезных станков мод.Смотрите также:16М30Ф3, 16А20Ф3, РТ755Ф3, РТ305М, РТ779Ф3, РТ5001, РТ5003, РТ5004, РТ301.01, РТ301.02, РТ301, РТ917, 16К40, 16Р25, 1М63Н, 1М63, 163, ДИП-300, ДИП300, 1Н65, 165, 1М65, ДИП-500, ДИП500, РТ117, РТ817, 1А983, 1Н983, РТ783, шестерни, резцовый блок, коробки подач, ШВП, валы, шпиндельные бабки, задние бабки, винты, рейки, каретка, суппорт, муфты обгонные, гайки маточные, гайки, фрикцион, диски, колеса конические, колеса зубчатые, червячные пары, фрикционные муфты, патроны, кулачки, венцы, ползушки, сухари, револьверные головки, ремонт",,,,,https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg,,published
