ID,Title,SKU,Type,Brand,Category_Path,Price,Currency,Compatible_SKUs,Short_Description,Full_Description,Weight_KG,Power_KW,Dimensions_MM,Voltage_V,Main_Photo,Gallery_Photos,Status
ИДЕНТИФИКАТОР,НАЗВАНИЕ ТОВАРА,АРТИКУЛ,ТИП ОБЪЕКТА,БРЕНД,ПУТЬ КАТЕГОРИИ,ЦЕНА,ВАЛЮТА,СОВМЕСТИМОСТЬ,КРАТКОЕ ОПИСАНИЕ,ПОЛНОЕ ОПИСАНИЕ,ВЕС (КГ),МОЩНОСТЬ (КВТ),ГАБАРИТЫ (ММ),НАПРЯЖЕНИЕ (В),ГЛАВНОЕ ФОТО,ГАЛЕРЕЯ ФОТО,СТАТУС
(системное),Текст,Уникальный код,machine / spare,Текст,Разделитель >>>,Число,RUB / USD,Артикулы через ;,1-2 предл.,Текст без тегов,Число,Число,ДхШхВ,Число,{SKU}_main.jpg,через ;,published / draft
STANOK.16K20,Токарно-винторезный станок 16К20,STANOK.16K20,machine,,Станки >>> Токарно-винторезные,1450000,RUB,,"Универсальный токарно-винторезный станок для выполнения разнообразных токарных работ в условиях единичного, мелкосерийного и серийного производства.","Станок 16К20 предназначен для выполнения разнообразных токарных работ: обтачивание и растачивание цилиндрических и конических поверхностей, нарезание наружных и внутренних метрических, дюймовых, модульных и питчевых резьб, сверление, зенкерование, развертывание отверстий, обработка деталей типа валов, втулок, дисков, фланцев.",2835,10,2505x1190x1500,380,16K20_main.jpg,,published
STANOK.1M63N,"Токарно-винторезный станок 1М63Н (ДИП-300, 163, 1М63)",STANOK.1M63N,machine,,Станки >>> Токарно-винторезные,1850000,RUB,,"Токарно-винторезный станок для выполнения разнообразных токарных работ с деталями среднего и большого размера в условиях единичного, мелкосерийного и серийного производства.","Станок 1М63Н предназначен для обтачивания наружных и внутренних цилиндрических и конических поверхностей, нарезания метрической, дюймовой, модульной и питчевой резьбы, сверления, зенкерования, развертывания и растачивания отверстий. Высокая мощность привода 10–15 кВт и жёсткость станины позволяют использовать возможности прогрессивных твердосплавных инструментов.",4200,15,2950x1780x1550,380,1M63N_main.jpg,,published
STANOK.16K40,Токарно-винторезный станок 16К40,STANOK.16K40,machine,,Станки >>> Токарно-винторезные,1550000,RUB,,Токарно-винторезный станок повышенной мощности для обработки крупных деталей.,Станок 16К40 предназначен для токарной обработки крупных деталей. Отличается повышенной жесткостью и мощностью привода.,3500,13,2800x1300x1600,380,16K40_main.jpg,,published
STANOK.1N65,"Токарно-винторезный станок 1Н65 (ДИП-500, 165, 1М65)",STANOK.1N65,machine,,Станки >>> Токарно-винторезные,2100000,RUB,,Токарно-винторезный станок для обработки крупногабаритных деталей.,Станок 1Н65 (ДИП-500) предназначен для обработки крупных деталей с высотой центров 500 мм. Обеспечивает высокую точность и производительность.,7500,22,4200x2100x1800,380,1N65_main.jpg,,published
STANOK.RT117,Токарно-винторезный станок РТ117,STANOK.RT117,machine,,Станки >>> Токарно-винторезные,1400000,RUB,,Токарно-винторезный станок универсального назначения.,Станок РТ117 предназначен для токарных работ в условиях единичного и мелкосерийного производства.,2900,10,2600x1200x1500,380,RT117_main.jpg,,published
STANOK.RT817,Токарно-винторезный станок РТ817,STANOK.RT817,machine,,Станки >>> Токарно-винторезные,1600000,RUB,,Токарно-винторезный станок повышенной точности.,Станок РТ817 обеспечивает высокую точность обработки и производительность.,3200,11,2700x1250x1550,380,RT817_main.jpg,,published
TURRET.16K30F3.40.000,Револьверная головка 16К30Ф3.40.000,TURRET.16K30F3.40.000,spare,,Узлы станков >>> Револьверные головки >>> ЧПУ,450000,RUB,16К30Ф3;16М30Ф3,Револьверная головка для автоматической смены инструмента на токарных станках с ЧПУ моделей 16К30Ф3.,"Револьверная головка 16К30Ф3.40.000 обеспечивает высокую точность позиционирования инструмента (±0.001 мм), быструю смену инструментальных позиций за 0.8-1.2 секунды и надежную фиксацию резцовых блоков во время обработки. 6 инструментальных позиций.",55,,Ø315x280,,16K30F3_turret_main.jpg,,published
TURRET.16M30F3.40.000,Револьверная головка 16М30Ф3.40.000,TURRET.16M30F3.40.000,spare,,Узлы станков >>> Револьверные головки >>> ЧПУ,460000,RUB,16М30Ф3;16К30Ф3,Револьверная головка для станка 16М30Ф3 с ЧПУ.,"Револьверная головка 16М30Ф3.40.000 для автоматической смены инструмента. 6 позиций, время смены 0.8-1.2 сек, точность ±0.001 мм.",55,,Ø315x280,,16M30F3_turret_main.jpg,,published
TURRET.RT755F3.40.000,Револьверная головка РТ755Ф3.40.000,TURRET.RT755F3.40.000,spare,,Узлы станков >>> Револьверные головки >>> ЧПУ,480000,RUB,РТ755Ф3,Револьверная головка для станка РТ755Ф3 с ЧПУ.,Револьверная головка РТ755Ф3.40.000 для автоматической смены инструмента на станке РТ755Ф3.,60,,Ø315x290,,RT755F3_turret_main.jpg,,published
