"Tilda UID";"Brand";"SKU";"Mark";"Category";"Title";"Description";"Text";"Photo";"Price";"Quantity";"Price Old";"Editions";"Modifications";"External ID";"Parent UID";"Weight";"Length";"Width";"Height";"Параметр1"
"889950992632";"ТД РУССтанкоСбыт";"Барабан - копир на фартук станка 16К20";"";"Узлы токарных станков;Узлы токарных станков>>>Фартуки";"Барабан - копир на фартук станка 16К20";"";"Барабан-копир на фартук станка 16К20 Применяется в фартуке токарно-винторезного станка мод. 16К20 служит для работы валов и осуществления работы и взаимодействия механизмов фартука станка <br />Запасные части , оснастка и комплектующие изделия для токарно-винторезных станков мод. 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, и т.д. ВАЛЫ , ВАЛ - РЕЙКИ , ВАЛ - ШЕСТЕРНИ, ВИНТЫ ХОДОВЫЕ И ПОПЕРЕЧНЫХ ПОДАЧ, ГАЙКИ МАТОЧНЫЕ, ДИСКИ ФРИКЦИОННЫЕ, КОЛЁСА ЗУБЧАТЫЕ , КОНИЧЕСКИЕ , ЧЕРВЯЧНЫЕ ПАРЫ, ОБГОННЫЕ МУФТЫ, РЕЗЦЕДЕРЖАТЕЛИ, ФРИЦИОННЫЕ МУФТЫ, ШКИВЫ ГЛАВНОГО ПРИВОДА, ЭЛЕКТРОМУФТЫ Револьверные головки, ШВП (Шарико-винтовые пары, передачи) комплектующие и оснастка для токарных патронов (кулачки, винты, шестерни, венцы, ползушки, сухари) и т.д.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"По запросу";"2";"";"";"";"OSB92Gi5OI0l8pD55699";"";"0";"0";"0";"0";"Фартуки"
"928309068562";"ТД РУССтанкоСбыт";"1М63Б_60_281";"";"Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки";"Блок зубчатый 1М63Б_60_281 (Фартук, модель 1М63)";"";"Блок зубчатый узла фартука; код 1М63Б_60_281; модель 1М63.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"9130.00";"9999";"";"";"";"BHR7ObHZpDbHf8PYtLMl";"";"0";"0";"0";"0";"Кулачки"
"712951490732";"ТД РУССтанкоСбыт";"Блок-шестерни 28/49 консольно-фрезерных станков мо";"";"Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки";"Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400";"";"Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400 Применяются в консоли консольно-фрезерного станка мод . FSS400 служит для осуществления работы и взаимодействия механизмов консоли и стола станка поставляется в паре. Запасные части , оснастка и комплектующие изделия для токарно-винторезных станков мод. 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, 6620, FU400 и т.д. ВАЛЫ , ВАЛ - РЕЙКИ , ВАЛ - ШЕСТЕРНИ, ВИНТЫ ХОДОВЫЕ И ПОПЕРЕЧНЫХ ПОДАЧ, ГАЙКИ МАТОЧНЫЕ, ДИСКИ ФРИКЦИОННЫЕ, КОЛЁСА ЗУБЧАТЫЕ , КОНИЧЕСКИЕ , ЧЕРВЯЧНЫЕ ПАРЫ, ОБГОННЫЕ МУФТЫ, РЕЗЦЕДЕРЖАТЕЛИ, ФРИЦИОННЫЕ МУФТЫ, ШКИВЫ ГЛАВНОГО ПРИВОДА, ЭЛЕКТРОМУФТЫ Револьверные головки, ШВП (Шарико-винтовые пары, передачи) комплектующие и оснастка для токарных патронов (кулачки, винты, шестерни, венцы, ползушки, сухари) и т.д.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"По запросу";"1";"";"";"";"u9iBp6mYtpNNmDOVs9SN";"";"0";"0";"0";"0";"Кулачки"
"325060663242";"ТД РУССтанкоСбыт";"Блок.шестерни 28/49 консольно.фрезерных станков мо";"";"Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки";"Блок.шестерни 28/49 консольно.фрезерных станков мод. FSS 400";"";"Применяются в консоли консольно.фрезерного станка мод . FSS400 служит для осуществления работы и взаимодействия механизмов консоли и стола станка поставляется в паре. Запасные части , оснастка и комплектующие изделия для токарно.винторезных станков мод. 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, 6620, FU400 и т.д. ВАЛЫ , ВАЛ . РЕЙКИ , ВАЛ . ШЕСТЕРНИ, ВИНТЫ ХОДОВЫЕ И ПОПЕРЕЧНЫХ ПОДАЧ, ГАЙКИ МАТОЧНЫЕ, ДИСКИ ФРИКЦИОННЫЕ, КОЛЁСА ЗУБЧАТЫЕ , КОНИЧЕСКИЕ , ЧЕРВЯЧНЫЕ ПАРЫ, ОБГОННЫЕ МУФТЫ, РЕЗЦЕДЕРЖАТЕЛИ, ФРИЦИОННЫЕ МУФТЫ, ШКИВЫ ГЛАВНОГО ПРИВОДА, ЭЛЕКТРОМУФТЫ Револьверные головки, ШВП (Шарико.винтовые пары, передачи) комплектующие и оснастка для токарных патронов (кулачки, винты, шестерни, венцы, ползушки, сухари) и т.д.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"По запросу";"3";"";"";"";"XH9vCcDptie2XChui1Nz";"";"0";"0";"0";"0";"Кулачки"
"980171927702";"ТД РУССтанкоСбыт";"VS-1K62";"";"Узлы токарных станков;Узлы токарных станков>>>Винты, ШВП, валы";"Вал подач 1К62";"";"Приводной вал коробки подач с шпонками/шлицами; восстанавливает передачу момента на фартук и смену подач.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"По запросу";"6";"";"";"";"JxzPlRjeytpV9Xus0SSb";"";"0";"0";"0";"0";"Винты, ШВП, валы"
"709646483662";"ТД РУССтанкоСбыт";"РТ502_33_152";"";"Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки";"Вал шестерня РТ502_33_152 (Сменные шестерни/задняя бабка, модель РТ502)";"";"Вал шестерня узла Сменные шестерни/задняя бабка; код РТ502_33_152; модель РТ502.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"14940.00";"9999";"";"";"";"hbGV62u4ARAHC1zMZ7Gk";"";"0";"0";"0";"0";"Кулачки"
"288643105662";"ТД РУССтанкоСбыт";"РТ5004_36_154_1";"";"Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки";"Вал-колесо-зуб. РТ5004_36_154_1 (Сменные шестерни/задняя бабка, модель РТ5004)";"";"Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_154_1; модель РТ5004.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"11620.00";"9999";"";"";"";"K9o2z2mORNsIjy6D850B";"";"0";"0";"0";"0";"Кулачки"
"264957247652";"ТД РУССтанкоСбыт";"РТ5004_36_159";"";"Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки";"Вал-колесо-зуб. РТ5004_36_159 (Сменные шестерни/задняя бабка, модель РТ5004)";"";"Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_159; модель РТ5004.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"14940.00";"9999";"";"";"";"kp07CzVmd3VcvCjpkzaj";"";"0";"0";"0";"0";"Кулачки"
"914048050832";"ТД РУССтанкоСбыт";"РТ5004_36_164";"";"Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки";"Вал-колесо-зуб. РТ5004_36_164 (Сменные шестерни/задняя бабка, модель РТ5004)";"";"Вал-колесо-зуб. узла Сменные шестерни/задняя бабка; код РТ5004_36_164; модель РТ5004.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"12450.00";"9999";"";"";"";"Z6cKuMtIEHyLbSkhTlAn";"";"0";"0";"0";"0";"Кулачки"
"299240408122";"ТД РУССтанкоСбыт";"1М63_61_231";"";"Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки";"Вал-шестерня 1М63_61_231 (Фартук, модель 1М63)";"";"Вал-шестерня узла фартука; код 1М63_61_231; модель 1М63.";"https://static.tildacdn.com/stor6535-3263-4739-a633-656162663564/9ccd5bf24410bd9dfaa9c7a5b0184fed.jpg";"13280.00";"9999";"";"";"";"cGPEXBJfgjOfrmSJnufz";"";"0";"0";"0";"0";"Кулачки"
