артикул;название;совместимые модели
75-002;Вал;002,1M983
74-007;Вал;007,1M983
71-008;Колесо зубчатое;008,1N65,34,94
71-009;Колесо зубчатое;009,113,1N65,34
20-022;Вилка;022,1M63,1M63N
30-024;Гайка;024,154,1N65
21-028;Вилка;028,163,1M63,1M63N
21-029;Вилка;029,163,1M63,1M63N
14-030;Шкив;030,120,1M63,200
21-030;Вилка;030,030СБ,163,1M63,1M63N,300,ДИП-300
02-037;Вилка;037,163,1M63,1M63N,40
20-037;Вал коробки скоростей;037,215,2N150
21-053;Шкив;053,121,1M63,280
02-072;Вилка;072,163,1M63,1M63N
08-158;Колесо зубчатое;08,158,165,1M65,1N65,500,817,88,ДИП-500
21-196;Валик;10,196,1M63
40-100;Полугайка;100,167,1N65
61-180;Колесо зубчатое;100,180,1M63,52
06-254;Колесо зубчатое;101,1M63,254,66
40-101;Полугайка;101,167,1N65
50-101;Гайка;101,160,1N65
60-102;Гайка;102,135,1M64
61-229;Колесо зубчатое;102,1M63,22,229
50-103;Колесо червячное;103,160,1N65
61-158;Колесо зубчатое;103,158,1M63,55
61-165;Колесо зубчатое;104,165,1M63,52
61-231;Вал-колесо зубчатое;105,1M63,23,231
40-106;Колесо червячное;106,1M63Б,89
60-294;Колесо зубчатое;106,1M63Б,294,55
61-197;Колесо зубчатое;108,197,1M63,26
61-164;Колесо зубчатое;109,164,1M63,63
71-165;Колесо зубчатое;109,165,1N65,44
02-171;Колесо зубчатое;11,171,1M63,23
20-158;Вал;11,158,163,1M63,1M63N,20,300,41,ДИП-300
61-230;Колесо зубчатое;110,1M63,23,230
61-228;Колесо зубчатое;111,1M63,228,54
60-250;Колесо зубчатое;112,1M63Б,250,28
60-252;Колесо зубчатое;112,1M63Б,252,31
60-251;Колесо зубчатое;113,1M63Б,25,251
60-253;Колесо зубчатое;113,1M63Б,22,253
60-283;Колесо зубчатое;114,1M63Б,283,69
71-156;Колесо зубчатое;114,156,1N65,51
60-281;Блок зубчатый;115,116,1M63Б,281,29
60-170;Колесо зубчатое-муфта;116,170,1N65,28
06-117;Полугайка;117,1M63,91
10-152;Вал ходовой;117,152,16000,165,1M65,1N65,24,4325,500
30-151;Шпиндель;117,151,180,1M65,1N65,500,817,ДИП-500
30-158;Колесо зубчатое;117,157,158,165,1M65,1N65,32,500,ДИП-500
50-152;Колесо зубчатое;117,152,158,165,17,1M65,1N65,500,ДИП-500
50-154;Колесо зубчатое;117,154,165,166,1M65,1N65,24,500
50-158;Вал;117,1212,158,165,1M65,1N65,31,500,ДИП-500
60-179;Валик;117,165,179,1M65,1N65,26,500
60-2811;Блок зубчатый;117,139,165,1M63Б,1M65,1N65,2811,45,500,817
04-119;Гайка;119,1M63,89
21-182;Валик;12,182,1M63
21-197;Колесо зубчатое;12,163,197,1M63,1M63N,300,32
60-278;Вал-колесо зубчатое;12,1M63Б,278,98
03-224;Пиноль;120,163,1M63,224,300,475,536,ДИП-300
60-178;Колесо зубчатое;120,178,1N65,32
60-161;Валик-колесо зубчатое;122,161,18,1N65
60-199;Колесо зубчатое;123,199,1M64,68
60-181;Колесо зубчатое;126,181,1N65,53
04-128;Полугайка;128,1M63,85
04-129;Полугайка;129,1M63,85
60-177;Колесо зубчатое;129,177,1N65,53
02-439;Валик-рейка;13,1M63,439,44
08-190;Ось;13,190,1M63
20-189;Колесо зубчатое;13,189,1M63Б,60
60-182;Колесо зубчатое;130,182,1N65,53
60-183;Колесо зубчатое;131,183,1N65,42
60-154;Колесо зубчатое;134,154,1N65,55
60-179;Колесо зубчатое;137,179,1M64,34
60-188;Колесо зубчатое;138,188,1M64,22
02-370;Колесо зубчатое;14,1M63,370,45
08-189;Ось;14,163,189,1M63,300,ДИП-300
60-282;Блок зубчатый;141,142,1M63Б,282
60-283;Блок зубчатый;142,1M63Б,283,69
21-158;Колесо зубчатое;143,158,163,1M63,1M63N,21,300,96
60-162;Колесо зубчатое;143,162,1N65,30
60-164;Колесо зубчатое;144,164,1N65,21
60-165;Колесо зубчатое;145,165,1N65,37
60-166;Валик-колесо зубчатое;146,166,18,1N65
11-152;Рейка;147,152,1M64,793
10-151;Винт ходовой;148,151,1N65
02-172;Колесо зубчатое;15,172,1M63,32
70-204;Вал;15,1M63Б,204
01-150;Рейка;150,163,1M63,300,40,93,ДИП-300
06-150;Червяк;150,1M63,94
48-150;Вал;150,1M63Б
50-150;Винт;150,159,165,1M65,1N65,500,ДИП-500
70-150;Вал;150,1N983
71-150;Вал;150,19А,1M63Б
11-151;Винт ходовой;151,1M63Б,92
40-151;Вал;151,1N983M
71-151;Вал;151,1N65,23
04-152;Винт;152,163,1M63,300,84
71-152;Колесо зубчатое;152,1M63Б,55,70А
71-152;Вал;152,1N65,21
73-152;Вал;152,1N983
04-153;Колесо зубчатое;153,1M63,20,300,87,ДИП-300
50-153;Колесо зубчатое;153,161,17,1N65
71-153;Колесо зубчатое;153,1M63Б,40,68А
