ПРЕФИКС ; Пример UID
ZADNBABKAZBOR ; ZADNBABKAZBOR.DIP300
SPINDELBABKAZBOR ; SPINDELBABKAZBOR.1M63
VALSPINDEL.BABKI ; VALSPINDEL.BABKI.1M63.21.200
KOLZUB ; KOLZUB.165_02_410
KOLZUB.BABKA ; KOLZUB.BABKA.1M63.21.200
KOLZUB.KOROBKA ; KOLZUB.KOROBKA.1M63.70210
KOLZUB.KARETKA ; KOLZUB.KARETKA.1M63.04.159
KOLZUB.FARTUK ; KOLZUB.FARTUK.1M63.06.203
KOLZUB.SMENSHEST ; KOLZUB.SMENSHEST.165_08_177
SHESTERN ; SHESTERN.16361231
VAL ; VAL.1M63.02.210
VILKA ; VILKA.1M63_21_028
VINTY ; VINTY.VH-50x10-2000
TRAPVINTI ; TRAPVINTI.----
GAYKA ; GAYKA.2657
KLIN ; KLIN.GIB-16K20
GOLOVKA ; GOLOVKA.16К30_40_000
MUFTA ; MUFTA.UBB112-GEAR-M8-42
KULACHKI ; KULACHKI.JWB-315-M6
FARTUK ; FARTUK.RT783-APR-KIT
KOMPLEKT ; KOMPLEKT.FEED-BOX-1H983-KIT
ROLUPR ; ROLUPR.KZh1840.F110.GENERIC
ROLSGLA ; ROLSGLA.KZh1840.F180.KZh1842...
NABORROL ; ROLSET.GENERIC.MULTI
CONTROL ; CONTROL.RT783-HB-CTRL
SERVICE ; SERVICE.AUTO-0045
STANOK ; STANOK.16К20
SPINDELBABKA ; SPINDELBABKA.SPINDLE-SHAFT-1M63-KIT
SPINDELUZEL ; SPINDELUZEL.RT783
SHPINDEL ; SHPINDEL.16K40.1M65
REVOLVGOLOV ; REVOLVGOLOV.ZAPASNCHAST
SPINDELBABKA ; SPINDELBABKA.VAL.1M63
SPINDELBABKA.VAL ; SPINDELBABKA.VAL.1M63
SPINDELBABKA.SHESTERN ; SPINDELBABKA.SHESTERN.1M63
SPINDELBABKA.ZAPASNCHAST ; SPINDELBABKA.ZAPASNCHAST.UNIVERSAL
ZADNBABKA ; ZADNBABKA.ZBOR.DIP300
ZADNBABKA.ZBOR ; ZADNBABKA.ZBOR.DIP300
ZADNBABKA.SHPINDEL ; ZADNBABKA.SHPINDEL.DIP300
KOROBPODACH ; KOROBPODACH.1N983
KOROBPODACH.KIT ; KOROBPODACH.DIP300.KIT
STANOK ; STANOK.16k40
STANOK.RT ; STANOK.RT301# ==== DOBAVLENIE (RU smysl, no latinica) ====
KOROBPODACH ; KOROBPODACH-DIP300-KOMPLEKT
ZADNBABKA ; ZADNBABKA-DIP1500-SBORKA
LOTOKPODDON ; LOTOKPODDON-783
RUKONASOS ; RUKONASOS-RT
NAKLADKA ; NAKLADKA-KULACHKI
REIKA ; REIKA-M3-1500
REVOLVGOLOV ; REVOLVGOLOV-ZAPCHASTI
INSTRUMENT ; INSTRUMENT-REVOLVGOLOV
ZAPCHASTI ; ZAPCHASTI-UNIVERSAL
VALSHPINDEL ; VALSHPINDEL-1M63-KOMPLEKT
SHESTSHINDEL ; SHESTSHINDEL-1M63-KOMPLEKT
SHPINDELZADN ; SHPINDELZADN-DIP300
KOMPLEKT ; KOMPLEKT-KOROBPODACH
SBORKA ; SBORKA-ZADNBABKA
