 Насос АКС станка 16К40
 Контактное/изоляционное кольцо на муфту У41.84 и щеткодержатели для электромагнитных муфт
 Износостойкие ролики для поверхностного упрочнения металлических изделий
 Конструкция и назначение люнета неподвижного токарно-винторезных станков модели 16К40
 Верхний суппорт в сборе токарно-винторезных станков 1М63,1.0М63Н,ДИП300
 Обработка мостика задней бабки станка 1М63Н на расточном станке,,,,,,,,,,,
 Захваты инструмента фрезерных станков 6Т13,ГФ2171,6.0Т82,6.0Р82,6.0Р82Ш,6Р12 и т.д.,,,,,,
 Пружины резцедержателей токарно-винторезных станков моделей 1М63,1.0М63Н, ДИП300,,,,,,,,,
 Литье корпусных изделий токарных станков и промышленного оборудования,,,,,,,,,,,
 Производство роликов для упрочнения замковой резьбы УБТ труб,,,,,,,,,,,
 Шпиндель задней бабки токарно-винторезных станков 16К40,16.0000000,,,,,,,,,,
 Ручка переключения фрикциона дублер на фартук 1М63, 16К40 (под шестигранник),,,,,,,,,,
 Шестерни вала зажима разжима кулачков 1Н983,1.0А983,1.0М983,РТ983,СА983,,,,,,,
 Конические шестерни 16К40 (ползушка),,,,,,,,,,,
 Ручка для винта кареточного станков 1М65,1.0Н65,ДИП500,165,РТ117,РТ817,,,,,,
 Скребки на направляющие - защита направляющих станков 16К20,16.0К25,1.0К62,1К625 - каретка, задняя бабка,,,,,,,
 Червячная шестерня - бронза для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101,16.0000000,,,,,,
 Гайка шпинделя специального станка глубокого сверления и растачивания РТ403,,,,,,,,,,,
 Вилка реверса шпиндельной бабки для станков 1М63,1.0М63Н,163,ДИП300,,,,,,,,
 Специальные блоки для револьверных головок 16К30Ф3,,,,,,,,,,,
 Шестерня шпиндельной бабки станков 1Н983,1.0А983,1.0М983,РТ983,СА983,,,,,,,
 Шестерни коробки скоростей и насоса станков 1Н65 1М65 165 ДИП500 РТ117 РТ817,,,,,,,,,,,
 Пара винт гайка вертикального суппорта для токарно-карусельного станка мод. 1516Ф1 (винт две гайки),,,,,,,,,,,
 Ножи для грануляторов,,,,,,,,,,,
 Шпиндель станков 2Н125Л,,,,,,,,,,,
 Кулачки для план шайб станков 1512,1516,,,,,,,,,,
 Нониусы(лимбы) продольной подачи для станков 1М65,1.0Н65, ДИП500, РТ117,РТ817,165 и т.д.,,,,,,
 Ремонт и модернизация ШВП (Шарико-винтовая пара, передача) с доведением до точностных параметров нового изделия (Российского и Импортного производства),,,,,,,,,,
 Вал 10 -ти шлицевой 5-ой оси в сборе с шестернями 1М65 1Н65 ДИП500 165 РТ117 РТ817 шпиндельная бабка,,,,,,,,,,,
 Ручка в сборе для винта кареточного станков 1Н983,1.0М983,1.0А983, РТ983, СА983, и т.д.,,,,,,
 Кольца пружинные для токарных станков и промышленного оборудования,,,,,,,,,,,
 ШВП (Шарико-винтовая пара, передача) станков 2А450,2.000000000,,,,,,,,,
 Комплект кулачков (3шт.) 3-250.35.11.004 для патрона ф.250мм.,,,,,,,,,,,
 Нониусы(лимбы) поперечной подачи для станков 1Н983,1.0А983,1.0М983,РТ983,СА983 и т.д.,,,,,,,
 Кулачки токарных патронов станков РТ772Ф3,,,,,,,,,,,
 Виброопоры для промышленного оборудования,,,,,,,,,,,
 Чугунные корпуса маточной гайки для станков 1Н65,1.0М65, РТ117,РТ817 и т.д.,,,,,,,,
 Шестерня со шпонкой фартука станка 1М63Н,1.0М63,163,ДИП300,16.0000000,,,,,,,
 Узел полумуфты в комплекте: (УГ9321.04000.000-02; УГ9326.0400-000) револьверной головки УГ9326,,,,,,,,,,,
 Винт 165.03.152 задней бабки 1Н65 1М65 165 ДИП500 РТ117 РТ817,,,,,,,,,,,
 Насос масляный для токарно-винторезного станка мод. 16К20 (шпиндельная бабка),,,,,,,,,,,
 Вилка на вал зажима разжима кулачков 1А983 1М983 1Н983 РТ983 СА983,,,,,,,,,,,
 Гайка для горизонтально-расточного станка мод. 2657 (6-ти шлицевое исполнение).,,,,,,,,,,,
 Ролики в комплекте с осью для спецлюнетов станков и промышленного оборудования,,,,,,,,,,,
 Муфта обгонная для станков 16К20,1.0К62,16.0Р25П,16.0К25,1.0А64,,,,,,,
 Звездочка промежуточная и втулка для фрезерных станков мод. 676П,,,,,,,,,,,
 Запасные части для станков 1М63 1М63Н 163 ДИП300 1М63БФ101 16К40,,,,,,,,,,,
 ШВП (Шарико-винтовая пара,передача) для станков РТ772Ф3 ШВП 16М30Ф3.54.000 (РТ772Ф3) поперечная,,,,,,,,,,1
 Сухари для токарного патрона ф. 1000,1250, 800мм (Для станков 1М65 1А64 16К40 16Р40 1Н65 ДИП500 165 РТ755Ф3 и т.д.),,,,,,,,,
 Тройной блок шестерен в шпиндельную бабку (Для станков 1М65 1Н65 ДИП500 165),,,,,,,,,,,
 Ремонт и модернизация ШВП (Шарико-винтовая пара, передача) с доведением до точностных параметров нового изделия (Российского и Импортного производства),,,,,,,,,,
 ШВП (Шарико-винтовая пара, передача) РТ755Ф359.50.000 и РТ755Ф3.63.000 Для станков РТ755Ф3 поперечная, продольная (Российского производства),,,,,,,,,
 Шестерня 1М63Б.70.210 в коробку подач,,,,,,,,,,,
 Запасные части для универсальных фрезерных станков и фрезерных станков с ЧПУ ( захваты для станка ГФ2171Ф3),,,,,,,,,,,
 Шестерни для Китайских станков (произведено в РФ),,,,,,,,,,,
 Поддержка винта-вала 1М63 11 001 ( Для станков 1М63,163,1.0М63Н,ДИП300,16.0000000,16.0000000),,,,,,
 Диск инструментальный 1П756ДФ3.47.000 ( Для Револьверной головки 1П756ДФ3.39.000 станка 1П756ДФ3),,,,,,,,,,,
 Зубчатое колесо пятой оси m-5 z-50 165.02.439 (Для станков 1М65 1Н65 ДИП500 165),,,,,,,,,,,
 Муфта обгонная 1М65 60 900 (старого образца устанавливается в коробку скоростей) К станкам 1М65 165 ДИП500,,,,,,,,,,,
 Шестерни-бронза для токарно-винторезных станков 16К40(16Р40),,,,,,,,,,,
 Чугунные корпуса маточной гайки для станков 1М63,1.0М63Н,16.0000000,1.0Н65,1М65 и т.д.,,,,,,,
 Запасные части для станков 1М63,1.0М63Н,163, ДИП300, 1М63БФ101, 16К40 1Н65,165,1М65 (Насос каретки 1М63.41Э.022, 1Н65.50.028),,,
 Запасные части для станков 1М63,1.0М63Н,163, ДИП300, 1М63БФ101, 16К40 1Н65,165,1М65 (Муфта тормозная ЭТМ 106-ЗА),,,,
 ШВП (Шарико-винтовая пара, передача) для станков DPM-NCC 2000/1000 (США) (Программа импортозамещения, российского производства),,,,,,,,,
 Ремонт и модернизация ШВП (Шарико-винтовая пара, передача) с доведением до точностных параметров нового изделия (Российского и Импортного производства),,,,,,,,,,
 ШВП (Шарико-винтовая пара, передача) РТ755Ф359.50.000 и РТ755Ф3.63.000 Для станков РТ755Ф3 поперечная, продольная (Российского производства),,,,,,,,,
 Шестерня 1М63Б.70.210 в коробку подач,,,,,,,,,,,
 Запасные части для универсальных фрезерных станков и фрезерных станков с ЧПУ ( захваты для станка ГФ2171Ф3),,,,,,,,,,,
 Шестерни для Китайских станков (произведено в РФ),,,,,,,,,,,
 Поддержка винта-вала 1М63 11 001 ( Для станков 1М63,163,1.0М63Н,ДИП300,16.0000000,16.0000000),,,,,,
 Диск инструментальный 1П756ДФ3.47.000 ( Для Револьверной головки 1П756ДФ3.39.000 станка 1П756ДФ3),,,,,,,,,,,
 Зубчатое колесо пятой оси m-5 z-50 165.02.439 (Для станков 1М65 1Н65 ДИП500 165),,,,,,,,,,,
 Муфта обгонная 1М65 60 900 (старого образца устанавливается в коробку скоростей) К станкам 1М65 165 ДИП500,,,,,,,,,,,
 Шестерни-бронза для токарно-винторезных станков 16К40(16Р40),,,,,,,,,,,
 Чугунные корпуса маточной гайки для станков 1М63,1.0М63Н,16.0000000,1.0Н65,1М65 и т.д.,,,,,,,
